opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value
PM5OZ82J,Siddharth Rout,SalesEdge Premium,L&T,Proposal,2022-02-05,2022-07-21,16294
9PFM3P0D,Kavya Khan,FinSuite Advanced,Reliance Retail,Proposal,2023-07-25,2023-11-10,16399
28T3SKIL,Farhan Sharma,FinSuite Advanced,L&T,Negotiation,2022-02-28,2022-03-28,2812
IWBNGA60,Aarav Yadav,FinSuite Advanced,Mahindra,Won,2023-09-08,2024-02-04,4313
W0VNLS5G,Diya Reddy,TrackPro,Air India,Won,2024-11-20,2025-02-22,4976
6HRDMHL1,Ananya Banerjee,BizCRM Lite,Flipkart,Won,2022-12-26,2023-05-07,6263
ZKHE9I9J,Myra Yadav,FinSuite Basic,Infosys,Prospecting,2022-04-17,2022-08-27,11486
DADE2JI7,Rohan Yadav,FinSuite Basic,L&T,Proposal,2024-10-31,2025-01-25,3721
1T9TVV44,Aisha Bhatt,BizCRM Lite,Tata Motors,Won,2024-02-24,2024-09-07,7688
M740576G,Farhan Pillai,FinSuite Basic,Wipro,Lost,2023-09-09,2023-11-18,19050
YAMFJ3KN,Vivaan Shetty,SalesEdge Premium,ICICI Bank,Won,2023-06-26,2023-08-25,7611
45GVQAD7,Ananya Das,TrackPro,Tata Motors,Proposal,2022-04-27,2022-07-08,11559
00MCATIB,Vihaan Verma,BizCRM Pro,Tata Motors,Proposal,2023-06-27,2023-10-18,507
B3YKYHHF,Ananya Rout,FinSuite Advanced,HDFC Bank,Won,2023-01-19,2023-07-30,10420
M56CYDLI,Ananya Banerjee,TrackPro,Wipro,Lost,2023-02-02,2023-03-23,8097
ODHXRBY5,Arjun Banerjee,Market360,Air India,Proposal,2022-04-18,2022-05-12,15812
I9DUOFS9,Tanvi Mohanty,TrackPro,Air India,Won,2024-06-14,2024-11-03,12825
T6V47KP1,Aditya Chatterjee,Market360,Marico,Lost,2024-12-03,2025-04-08,7971
0QABYB7X,Vivaan Das,FinSuite Basic,ICICI Bank,Won,2022-05-01,2022-05-29,16624
D4ZHB531,Vivaan Nair,Market360,Marico,Won,2024-12-28,2025-04-07,493
X84N21SO,Ishaan Mohanty,TrackPro,Godrej,Prospecting,2022-07-18,2022-07-28,8941
YVNNIPL3,Ira Pillai,BizCRM Lite,L&T,Proposal,2023-01-11,2023-03-26,1413
IVMAF8R7,Diya Sharma,BizCRM Lite,Reliance Retail,Proposal,2022-09-28,2023-02-25,10260
CS1KCUU8,Ananya Das,FinSuite Advanced,Reliance Retail,Proposal,2023-10-21,2024-04-10,2608
DCIK8RCV,Ishaan Rout,FinSuite Basic,L&T,Lost,2024-03-22,2024-09-21,15313
15YHUNSD,Aisha Banerjee,FinSuite Advanced,Infosys,Proposal,2022-04-25,2022-05-23,6386
GVP8V7I2,Saanvi Qureshi,SalesEdge Premium,Godrej,Lost,2022-09-23,2023-01-30,19304
GWTSB7MS,Tanvi Khan,SalesEdge Premium,Flipkart,Lost,2023-10-16,2024-04-30,18999
Y1SB4IAK,Rohan Reddy,BizCRM Lite,L&T,Won,2022-05-24,2022-10-08,8022
CE5IYPBF,Vivaan Khan,BizCRM Pro,Reliance Retail,Proposal,2022-12-31,2023-02-26,17321
1F1FFVJM,Diya Desai,SalesEdge Premium,Air India,Proposal,2023-03-09,2023-03-23,18109
F7JBHNS4,Krishna Das,TrackPro,Air India,Proposal,2023-01-16,2023-04-14,3336
A3TYFC6J,Arjun Menon,FinSuite Basic,Wipro,Prospecting,2023-04-28,2023-10-05,7669
Q7TCF3ZE,Farhan Bhatt,SalesEdge Premium,Godrej,Lost,2022-01-05,2022-01-27,17315
3DVD5J7Z,Krishna Reddy,SalesEdge Premium,HDFC Bank,Negotiation,2022-06-27,2022-10-14,19640
XLMDMB2F,Aditya Nair,TrackPro,Reliance Retail,Negotiation,2022-04-13,2022-10-05,17183
BGFWBF2G,Ishaan Yadav,TrackPro,Tata Motors,Negotiation,2022-08-13,2022-11-01,14196
54AW5BIG,Farhan Patel,TrackPro,Asian Paints,Negotiation,2024-06-25,2024-12-31,7547
JTOTCODI,Farhan Menon,Market360,Mahindra,Won,2024-12-11,2025-03-28,1659
7J219DGE,Aarav Patel,BizCRM Pro,Infosys,Negotiation,2024-04-05,2024-07-15,12784
JAVH8NBF,Siddharth Chatterjee,FinSuite Basic,L&T,Won,2023-05-05,2023-09-11,17028
U7SLGU6W,Siddharth Banerjee,TrackPro,Flipkart,Negotiation,2022-09-16,2023-01-18,12867
UPU20OW1,Rohan Reddy,FinSuite Advanced,Asian Paints,Proposal,2022-10-31,2023-03-05,16899
QFULNKK9,Aditya Sharma,BizCRM Pro,Air India,Prospecting,2022-05-10,2022-07-26,17833
5RH91OQH,Aditya Yadav,TrackPro,L&T,Lost,2024-07-22,2024-08-26,3102
JL9KGPNM,Vivaan Desai,FinSuite Advanced,Aditya Birla Group,Proposal,2022-05-27,2022-10-15,421
CACWJSSN,Vivaan Iyer,SalesEdge Premium,Asian Paints,Prospecting,2022-04-01,2022-06-05,16411
82SFC46S,Farhan Nair,FinSuite Advanced,Reliance Retail,Won,2022-04-26,2022-11-08,16860
WEWMI3JZ,Vihaan Desai,TrackPro,Tata Motors,Proposal,2023-06-24,2023-08-07,11647
SWF63UP0,Rohan Shetty,Market360,Infosys,Lost,2024-03-12,2024-08-12,16610
DUBGXR2G,Kavya Pillai,FinSuite Advanced,Flipkart,Prospecting,2022-06-08,2022-07-14,18600
1MUVVYY6,Myra Mohanty,TrackPro,Aditya Birla Group,Prospecting,2024-01-02,2024-01-29,7959
B7QM7G7K,Vihaan Reddy,BizCRM Pro,Flipkart,Won,2023-05-26,2023-07-23,13560
WEGRC1X6,Krishna Pillai,Market360,HDFC Bank,Negotiation,2022-10-08,2022-11-15,9475
YEVMHXQL,Kavya Menon,BizCRM Pro,Air India,Negotiation,2022-04-12,2022-10-07,19411
1TCK4MB3,Diya Kapoor,Market360,Marico,Lost,2022-04-02,2022-06-22,17126
4TK8RHY1,Aarav Qureshi,TrackPro,Reliance Retail,Lost,2023-09-30,2024-01-04,18683
7POQPC6X,Riya Nair,TrackPro,Flipkart,Prospecting,2024-12-13,2025-05-11,12207
TLA553AM,Meera Banerjee,BizCRM Pro,HDFC Bank,Won,2023-12-30,2024-06-16,13343
JLG2H8VM,Rohan Patel,TrackPro,Air India,Lost,2023-03-26,2023-06-24,13720
ITNCIYP6,Vihaan Iyer,BizCRM Pro,Wipro,Lost,2023-06-02,2023-11-02,19836
PGE1SSXA,Aisha Reddy,TrackPro,Flipkart,Proposal,2023-01-10,2023-02-20,9803
6N7K9XSY,Ira Shetty,TrackPro,Wipro,Lost,2023-08-26,2023-12-29,214
91VM113L,Ananya Bhatt,FinSuite Advanced,Asian Paints,Lost,2024-11-11,2025-05-29,3485
PCQOTE6J,Aarav Chatterjee,Market360,ICICI Bank,Won,2023-09-24,2024-02-13,14810
SBFXKFTE,Krishna Pillai,BizCRM Pro,Mahindra,Negotiation,2022-09-27,2022-10-09,2022
EYRPZSIQ,Aarav Mohanty,FinSuite Advanced,L&T,Won,2022-11-29,2023-03-30,657
AQLAC8QX,Diya Das,FinSuite Advanced,HDFC Bank,Proposal,2023-11-17,2024-02-04,5862
OKAR01SE,Farhan Qureshi,FinSuite Advanced,Marico,Proposal,2022-05-28,2022-08-18,11866
O3KDVF74,Krishna Patel,FinSuite Basic,Mahindra,Negotiation,2024-09-21,2025-02-24,11939
U228YQOF,Vivaan Kapoor,BizCRM Pro,Reliance Retail,Won,2022-06-06,2022-08-26,368
9SKIZXI0,Siddharth Das,Market360,Godrej,Proposal,2024-09-01,2024-11-04,14589
3JS543LK,Vihaan Khan,FinSuite Advanced,Air India,Negotiation,2024-01-31,2024-03-29,14798
NIAFNI8A,Saanvi Yadav,FinSuite Basic,HDFC Bank,Prospecting,2023-12-22,2024-06-15,17555
Y6AY8FO7,Farhan Sharma,FinSuite Advanced,ICICI Bank,Negotiation,2024-11-04,2025-03-14,1291
UWUO9Y0V,Diya Sharma,Market360,Infosys,Prospecting,2023-01-07,2023-05-16,3448
HQSC4R6D,Myra Reddy,BizCRM Pro,Infosys,Prospecting,2022-04-04,2022-06-29,4497
GVSHIV2W,Tanvi Kapoor,Market360,Infosys,Proposal,2024-11-11,2025-01-23,1532
3TQ1AKVO,Siddharth Patel,SalesEdge Premium,Asian Paints,Negotiation,2022-07-24,2023-01-13,8815
8JYUGIJ6,Ananya Kapoor,SalesEdge Premium,Infosys,Won,2022-07-09,2022-10-24,4433
DTH5GFH5,Ananya Banerjee,FinSuite Basic,Marico,Proposal,2023-11-29,2024-05-27,11851
2KB5WU2W,Aarav Patel,BizCRM Pro,Flipkart,Prospecting,2022-12-21,2023-06-27,3823
HVYYMS06,Meera Bhatt,TrackPro,L&T,Lost,2023-05-01,2023-05-11,313
XTV6A5D1,Meera Banerjee,Market360,Air India,Proposal,2022-03-26,2022-08-17,1188
4DH7592Z,Vivaan Menon,FinSuite Advanced,Reliance Retail,Negotiation,2022-12-15,2023-05-28,2332
9FG8OCQG,Vivaan Qureshi,FinSuite Basic,HDFC Bank,Proposal,2022-03-15,2022-08-02,18341
0BJ6I9F4,Rohan Iyer,BizCRM Lite,Mahindra,Lost,2024-12-09,2025-06-24,14329
PR8ZU999,Kavya Banerjee,TrackPro,HDFC Bank,Lost,2024-09-29,2024-11-24,7367
XKTFILHP,Diya Qureshi,SalesEdge Premium,Wipro,Lost,2022-05-09,2022-09-07,14821
FRJWU7O5,Farhan Khan,TrackPro,Godrej,Won,2022-07-08,2022-12-02,3903
VM2Y0LDB,Aditya Yadav,Market360,Wipro,Lost,2022-02-07,2022-06-16,10018
R5JPZ0M9,Kavya Chatterjee,TrackPro,Wipro,Proposal,2024-01-13,2024-07-06,12715
7KC07VS7,Saanvi Nair,FinSuite Advanced,Asian Paints,Negotiation,2022-06-19,2022-09-02,11434
WBY3DR4R,Ananya Shetty,BizCRM Lite,L&T,Proposal,2022-08-20,2023-01-25,691
DDM628J7,Saanvi Shetty,BizCRM Lite,Asian Paints,Negotiation,2022-05-30,2022-09-11,7627
C48BO5TB,Vivaan Sharma,Market360,Asian Paints,Prospecting,2023-02-14,2023-04-06,3412
ASTW59AG,Krishna Verma,TrackPro,Marico,Negotiation,2023-01-22,2023-06-21,10656
CFJY7TV5,Aisha Patel,BizCRM Pro,Mahindra,Lost,2024-12-23,2025-03-09,12281
774S47DE,Aarav Reddy,BizCRM Lite,Asian Paints,Proposal,2022-04-02,2022-10-02,18071
ARWJLMHM,Kavya Shetty,BizCRM Pro,HDFC Bank,Lost,2022-06-26,2022-12-18,13769
J88F7MX6,Diya Pillai,FinSuite Basic,Asian Paints,Proposal,2023-07-25,2023-08-24,10396
2RTLWEHZ,Ishaan Verma,FinSuite Advanced,Reliance Retail,Prospecting,2023-12-22,2024-01-22,4733
EBOHK8FD,Riya Shetty,TrackPro,Infosys,Negotiation,2023-09-22,2024-02-26,4324
UQBAG0M2,Vivaan Qureshi,BizCRM Lite,Marico,Negotiation,2024-12-31,2025-02-23,11142
E9CGP2VA,Ira Yadav,FinSuite Advanced,Air India,Negotiation,2022-10-23,2022-12-29,19107
2D1J30FQ,Ananya Sharma,TrackPro,Infosys,Prospecting,2023-07-30,2023-12-31,10630
EIVI79FB,Meera Nair,FinSuite Basic,Wipro,Lost,2022-08-06,2023-02-14,673
N5MZOKZD,Aisha Sharma,Market360,Air India,Negotiation,2023-06-14,2023-12-16,111
VSD7FR6N,Saanvi Chatterjee,BizCRM Lite,Aditya Birla Group,Won,2024-06-27,2024-07-10,7867
T5SZD2DF,Ananya Reddy,FinSuite Basic,Air India,Negotiation,2023-04-07,2023-10-17,9777
DY9RVU2L,Aditya Mohanty,Market360,Air India,Won,2023-07-07,2023-12-07,2320
MTHM5PCU,Vihaan Bhatt,FinSuite Basic,Tata Motors,Won,2022-09-11,2022-11-22,18636
HAV9TFXH,Siddharth Nair,FinSuite Advanced,ICICI Bank,Lost,2023-07-31,2023-12-29,9417
ZG6ZZ614,Rohan Khan,SalesEdge Premium,Wipro,Lost,2023-10-26,2024-01-17,11926
98E5MZEO,Aisha Khan,BizCRM Lite,Marico,Proposal,2022-04-22,2022-10-23,13797
HXC458M6,Krishna Rout,BizCRM Lite,Flipkart,Won,2024-06-24,2024-11-30,16354
XTG5KHIZ,Krishna Yadav,FinSuite Advanced,Tata Motors,Prospecting,2022-10-17,2023-02-28,4139
THK0JPTF,Kavya Reddy,SalesEdge Premium,Reliance Retail,Won,2023-01-06,2023-02-15,13801
II7GLHV1,Diya Menon,BizCRM Lite,HDFC Bank,Lost,2024-06-25,2024-12-21,2453
740NM4Q2,Rohan Reddy,BizCRM Lite,Godrej,Negotiation,2023-01-12,2023-04-19,16968
CO57H43B,Kavya Verma,SalesEdge Premium,Flipkart,Proposal,2023-08-27,2024-02-25,126
7ONPUWE0,Vihaan Chatterjee,Market360,Asian Paints,Won,2023-08-18,2024-01-05,19003
SDAMVQHT,Meera Kapoor,BizCRM Lite,Wipro,Proposal,2024-09-12,2024-11-24,3252
XGAKRV0X,Vihaan Nair,TrackPro,Flipkart,Lost,2023-11-14,2024-05-05,14482
3ZYO4YH8,Siddharth Rout,Market360,ICICI Bank,Won,2024-01-22,2024-07-09,19698
2LFRT6GF,Aarav Pillai,BizCRM Lite,HDFC Bank,Won,2023-03-10,2023-07-12,8846
F83U3NBY,Diya Sharma,SalesEdge Premium,HDFC Bank,Proposal,2022-02-13,2022-04-13,16534
LMQ5MXO7,Ira Patel,FinSuite Basic,L&T,Proposal,2023-01-02,2023-07-16,2198
IVF5TG1C,Arjun Kapoor,FinSuite Advanced,HDFC Bank,Prospecting,2024-04-01,2024-06-15,9314
NRV0BKQI,Krishna Sharma,Market360,Mahindra,Negotiation,2023-10-13,2023-11-11,13085
N8D3GA56,Vihaan Sharma,BizCRM Pro,HDFC Bank,Proposal,2023-12-01,2024-05-31,4079
X2TD7RZF,Kavya Patel,FinSuite Advanced,Infosys,Won,2024-06-30,2024-08-19,2608
WYQZRMAN,Myra Banerjee,TrackPro,Infosys,Negotiation,2024-10-20,2024-12-31,686
9NFSRVKM,Rohan Iyer,TrackPro,Marico,Proposal,2022-09-07,2023-03-23,1031
OP6UXMAD,Kavya Desai,SalesEdge Premium,Reliance Retail,Prospecting,2023-05-14,2023-09-29,9358
W4ZRA30C,Aditya Reddy,FinSuite Basic,Aditya Birla Group,Won,2024-06-09,2024-11-20,5916
BA6WTPRI,Tanvi Nair,BizCRM Pro,ICICI Bank,Prospecting,2022-04-14,2022-06-03,18173
4V4AO5CE,Aditya Chatterjee,FinSuite Basic,Godrej,Prospecting,2024-10-03,2024-10-24,12158
EHYNPEGP,Ishaan Khan,Market360,ICICI Bank,Lost,2024-02-09,2024-03-23,5639
WYJH3N2V,Krishna Pillai,BizCRM Lite,Godrej,Proposal,2024-05-08,2024-11-10,5457
E5CKI3QH,Aditya Sharma,TrackPro,Flipkart,Prospecting,2023-08-29,2024-01-08,550
3WZCG97I,Ira Yadav,FinSuite Advanced,Air India,Prospecting,2024-06-03,2024-11-29,4112
1FRR7KDF,Tanvi Chatterjee,SalesEdge Premium,ICICI Bank,Proposal,2022-04-16,2022-05-09,19895
7LAMGVZ9,Siddharth Mohanty,FinSuite Advanced,Mahindra,Negotiation,2023-05-30,2023-11-06,15219
ISMDTJEK,Myra Qureshi,FinSuite Advanced,HDFC Bank,Lost,2022-02-07,2022-02-19,10586
VXAC18QA,Meera Iyer,FinSuite Advanced,HDFC Bank,Prospecting,2024-03-25,2024-04-15,4299
5ELCM1YR,Myra Verma,BizCRM Pro,Flipkart,Proposal,2024-01-23,2024-02-10,4155
XXP7MIGB,Ananya Menon,SalesEdge Premium,ICICI Bank,Negotiation,2022-08-30,2022-11-19,19970
JZL06SVQ,Kavya Banerjee,SalesEdge Premium,Tata Motors,Prospecting,2023-09-17,2024-03-26,3396
W1P5SJ70,Tanvi Shetty,SalesEdge Premium,Asian Paints,Prospecting,2023-09-24,2023-11-06,12424
QDP2E1UZ,Ananya Reddy,TrackPro,Mahindra,Prospecting,2023-07-26,2023-10-22,11128
DWU8EDV5,Krishna Chatterjee,BizCRM Lite,Asian Paints,Negotiation,2023-12-03,2024-05-07,9874
1ZIX0JZ9,Vivaan Mohanty,FinSuite Advanced,Infosys,Proposal,2024-09-26,2025-02-07,4314
22BJYKLD,Riya Mohanty,BizCRM Pro,ICICI Bank,Won,2022-12-19,2023-07-02,12237
OLKHCIJ8,Krishna Das,Market360,Aditya Birla Group,Prospecting,2024-05-31,2024-08-19,19069
RVEQ3OKN,Ishaan Bhatt,SalesEdge Premium,Reliance Retail,Proposal,2024-01-13,2024-03-10,10781
1QGML9WV,Ishaan Bhatt,SalesEdge Premium,Asian Paints,Prospecting,2024-11-12,2025-04-16,12804
SBSDAI40,Saanvi Qureshi,FinSuite Advanced,Aditya Birla Group,Proposal,2024-11-24,2025-01-09,4272
1DYQQJ83,Aisha Verma,Market360,Marico,Won,2022-05-27,2022-07-22,70
CPOJASSD,Arjun Patel,BizCRM Pro,Marico,Proposal,2023-02-09,2023-03-26,19133
JYQGNYMY,Rohan Verma,BizCRM Lite,L&T,Lost,2022-11-22,2023-02-27,12355
7SJISBRU,Diya Kapoor,SalesEdge Premium,Tata Motors,Proposal,2023-07-05,2023-12-19,4908
YKV20ZWR,Aarav Nair,Market360,Wipro,Negotiation,2022-12-25,2023-01-25,16053
0EH83ABW,Arjun Iyer,TrackPro,Godrej,Won,2024-04-04,2024-08-16,5464
L9HKLYDB,Arjun Khan,FinSuite Basic,L&T,Proposal,2023-02-10,2023-06-25,9383
QJ8DVATE,Aarav Bhatt,FinSuite Basic,Wipro,Prospecting,2024-07-13,2024-10-18,7008
VBVWFN8H,Aarav Khan,SalesEdge Premium,L&T,Prospecting,2024-06-13,2024-09-24,5696
H16CH4LC,Myra Kapoor,SalesEdge Premium,Marico,Lost,2023-12-16,2024-03-26,19699
5OS1FNKN,Ananya Reddy,Market360,L&T,Lost,2023-07-10,2024-01-11,16326
4T18FN09,Saanvi Menon,Market360,Reliance Retail,Proposal,2022-09-04,2022-10-06,19197
9C7TX59F,Aditya Iyer,Market360,Wipro,Lost,2022-03-09,2022-03-28,13031
O1VGXJBA,Rohan Patel,FinSuite Basic,Asian Paints,Prospecting,2022-03-19,2022-04-07,18811
TUY79XCY,Aisha Reddy,BizCRM Pro,Infosys,Prospecting,2024-12-25,2025-05-05,3579
J5XR750O,Riya Khan,Market360,Flipkart,Won,2022-05-20,2022-10-08,19054
T8NG41V4,Kavya Iyer,FinSuite Basic,Wipro,Negotiation,2023-11-04,2024-02-24,6311
7MMRELWG,Myra Kapoor,BizCRM Lite,Tata Motors,Lost,2022-01-13,2022-03-22,15160
HDPQ1FEE,Ishaan Reddy,SalesEdge Premium,Reliance Retail,Proposal,2023-08-26,2023-12-31,18950
G6F19ZQ3,Meera Qureshi,TrackPro,Asian Paints,Lost,2024-05-05,2024-07-10,12770
C1NBINK9,Ananya Nair,Market360,HDFC Bank,Won,2024-02-05,2024-03-04,15146
RGZBOM2L,Diya Chatterjee,SalesEdge Premium,ICICI Bank,Won,2022-10-12,2023-03-25,3613
4MSI3LSB,Kavya Das,Market360,Aditya Birla Group,Won,2024-09-29,2024-10-31,7912
NM7FGHPQ,Ananya Mohanty,SalesEdge Premium,Air India,Lost,2023-11-12,2024-05-15,17915
VG6ML9ZV,Kavya Chatterjee,BizCRM Pro,Air India,Lost,2023-09-25,2023-12-28,12358
NG54LOD4,Ishaan Menon,FinSuite Advanced,Aditya Birla Group,Proposal,2022-04-18,2022-08-23,8263
4B3UIICC,Vihaan Nair,BizCRM Lite,Infosys,Lost,2024-06-29,2024-09-24,6820
RBH1B6CX,Farhan Patel,BizCRM Pro,Reliance Retail,Won,2023-11-30,2024-06-09,14446
W6XXFEPN,Saanvi Iyer,FinSuite Basic,Asian Paints,Negotiation,2022-09-27,2022-12-26,5180
G62QOE9V,Arjun Kapoor,BizCRM Pro,L&T,Won,2024-06-21,2024-11-16,2025
IY0E5C2K,Tanvi Sharma,FinSuite Basic,Tata Motors,Lost,2024-05-11,2024-07-12,1559
DL6BCM9U,Meera Mohanty,FinSuite Basic,Godrej,Won,2022-12-29,2023-06-22,5776
3HK1K4BN,Vihaan Rout,TrackPro,Infosys,Negotiation,2023-03-25,2023-06-05,13011
9JXY808X,Ishaan Mohanty,SalesEdge Premium,Marico,Proposal,2024-04-16,2024-07-10,13786
5SY0WW9V,Vihaan Chatterjee,Market360,L&T,Prospecting,2022-07-16,2022-10-11,7455
7C4FM88D,Riya Mohanty,BizCRM Pro,Air India,Prospecting,2024-06-24,2024-11-29,2963
FIX45SY8,Tanvi Banerjee,FinSuite Basic,Mahindra,Prospecting,2024-02-29,2024-04-18,9526
V584CRYL,Ananya Chatterjee,Market360,Flipkart,Won,2022-09-19,2023-02-02,4654
G49PH7JU,Siddharth Bhatt,Market360,Tata Motors,Prospecting,2024-03-14,2024-08-18,18879
6DJS6L3B,Vivaan Pillai,BizCRM Pro,Tata Motors,Proposal,2023-02-04,2023-05-17,15876
OE6977N9,Tanvi Pillai,FinSuite Basic,Asian Paints,Lost,2024-05-08,2024-08-10,14682
LQ2PA56K,Diya Qureshi,FinSuite Advanced,Asian Paints,Lost,2022-03-29,2022-06-01,14959
3FNPA4TL,Aisha Pillai,TrackPro,Mahindra,Proposal,2024-07-11,2024-12-12,18320
UMLKVB91,Aisha Das,BizCRM Pro,L&T,Proposal,2024-01-23,2024-07-09,736
YFVGQPZC,Tanvi Rout,SalesEdge Premium,Wipro,Prospecting,2024-01-05,2024-01-19,13874
VTJ4R391,Aisha Sharma,FinSuite Basic,L&T,Proposal,2024-04-01,2024-05-05,8193
CK01NQAM,Farhan Banerjee,FinSuite Advanced,Reliance Retail,Lost,2024-05-09,2024-06-14,8074
AIKSJ117,Rohan Bhatt,BizCRM Lite,Aditya Birla Group,Proposal,2022-09-30,2023-01-01,19726
5IFABLFP,Siddharth Iyer,Market360,Infosys,Negotiation,2022-02-06,2022-08-17,10793
FD7DPUNI,Kavya Yadav,FinSuite Advanced,Marico,Lost,2022-07-25,2022-11-04,7720
1C8E4LL1,Ishaan Mohanty,Market360,ICICI Bank,Lost,2023-07-21,2023-12-06,16565
0DK7ZQHW,Vihaan Banerjee,FinSuite Basic,Aditya Birla Group,Prospecting,2023-04-29,2023-08-21,7054
2RDC8UL6,Ananya Reddy,BizCRM Pro,ICICI Bank,Proposal,2024-12-13,2025-05-04,7209
0AD1U1BS,Myra Mohanty,Market360,Wipro,Negotiation,2022-07-16,2022-11-04,9254
Y8PKW01T,Aisha Das,TrackPro,Tata Motors,Lost,2023-07-18,2023-09-11,5566
IZUJ8UV1,Aditya Bhatt,FinSuite Basic,Godrej,Won,2022-11-07,2023-03-07,6834
N1ZV8ZWX,Ira Bhatt,BizCRM Pro,Asian Paints,Won,2024-04-12,2024-07-14,15852
HLTJHBGO,Siddharth Khan,BizCRM Pro,Wipro,Won,2023-03-08,2023-08-02,10372
OTA3Z3T9,Arjun Patel,BizCRM Pro,Godrej,Won,2023-08-21,2023-11-25,477
YJK2VAYZ,Vihaan Pillai,SalesEdge Premium,Air India,Lost,2022-04-27,2022-11-11,15785
XPMHZRIZ,Aisha Mohanty,SalesEdge Premium,Wipro,Won,2022-03-09,2022-06-28,16239
LTUKDYCZ,Diya Nair,FinSuite Advanced,Flipkart,Lost,2022-08-01,2022-08-15,13257
2ZAHPUT3,Arjun Desai,TrackPro,Tata Motors,Prospecting,2022-10-20,2023-04-27,10201
QBB0WHLJ,Kavya Chatterjee,FinSuite Basic,Reliance Retail,Proposal,2024-03-25,2024-04-25,17071
G4UO3JAQ,Riya Menon,FinSuite Advanced,Asian Paints,Lost,2024-03-04,2024-05-23,9216
GD6AXQNG,Ira Mohanty,BizCRM Pro,Asian Paints,Prospecting,2024-02-12,2024-06-12,2065
WWSH1X3V,Diya Qureshi,FinSuite Advanced,Mahindra,Prospecting,2022-01-31,2022-06-16,14355
LX9E2HS4,Tanvi Patel,BizCRM Pro,Aditya Birla Group,Negotiation,2022-07-22,2022-09-03,10816
T31R3EB5,Kavya Kapoor,BizCRM Lite,Flipkart,Proposal,2024-08-03,2024-11-21,14559
5QB08SM9,Vivaan Sharma,FinSuite Advanced,Godrej,Proposal,2023-01-16,2023-06-13,2259
MP8LBGEV,Aditya Desai,BizCRM Lite,Tata Motors,Lost,2024-09-08,2025-01-02,15632
